Airline,Domestic,International,Month,Year
VIRGIN ATLANTIC,0,973512,11,2015
AIR FRANCE,0,958713,11,2015
CATHAY PACIFIC,0,849916,11,2015
CARIBBEAN AIR,0,606694,11,2015
EL AL,0,589152,11,2015
ALITALIA,0,573687,11,2015
AEROMEXICO,0,531297,11,2015
SWISS INT'L AIR LINES LT,0,509762,11,2015
UNITED,20653679,7715240,7,2015
DELTA,21203287,5179375,7,2015
JETBLUE AIRWAYS,12694712,3183092,7,2015
AMERICAN,9883652,2851333,7,2015
US AIRWAYS,4956803,0,7,2015
SOUTHWEST AIRLINES,3822239,0,7,2015
SPIRIT AIRLINES,2326409,0,7,2015
BRITISH AIRWAYS,0,1730175,7,2015
VIRGIN AMERICA,1664058,0,7,2015
AIR CANADA,0,1528892,7,2015
LUFTHANSA,0,1104434,7,2015
VIRGIN ATLANTIC,0,960324,7,2015
EMIRATES AIRLINES,0,937935,7,2015
AIR FRANCE,0,918131,7,2015
CATHAY PACIFIC,0,844108,7,2015
CARIBBEAN AIR,0,609455,7,2015
EL AL,0,574411,7,2015
ALITALIA,0,569514,7,2015
AEROMEXICO,0,513137,7,2015
SWISS INT'L AIR LINES LT,0,507870,7,2015
UNITED,21075731,7745191,10,2015
DELTA,21669056,5248382,10,2015
JETBLUE AIRWAYS,12864912,3300746,10,2015
AMERICAN,10145309,2797862,10,2015
US AIRWAYS,4962909,0,10,2015
SOUTHWEST AIRLINES,3942064,0,10,2015
SPIRIT AIRLINES,2321671,0,10,2015
VIRGIN AMERICA,1723096,0,10,2015
BRITISH AIRWAYS,0,1679782,10,2015
AIR CANADA,0,1555799,10,2015
LUFTHANSA,0,1107584,10,2015
EMIRATES AIRLINES,0,1000950,10,2015
VIRGIN ATLANTIC,0,966036,10,2015
AIR FRANCE,0,953365,10,2015
CATHAY PACIFIC,0,843820,10,2015
CARIBBEAN AIR,0,606143,10,2015
EL AL,0,587277,10,2015
ALITALIA,0,572670,10,2015
AEROMEXICO,0,529804,10,2015
TAM BRAZILIAN AIRLINES,0,510014,10,2015
UNITED,20199613,7823563,2,2015
DELTA,20515189,5095419,2,2015
JETBLUE AIRWAYS,12320400,3152691,2,2015
AMERICAN,9676590,2971313,2,2015
US AIRWAYS,4854023,0,2,2015
SOUTHWEST AIRLINES,3682523,0,2,2015
SPIRIT AIRLINES,2344640,0,2,2015
BRITISH AIRWAYS,0,1747150,2,2015
VIRGIN AMERICA,1543691,0,2,2015
AIR CANADA,0,1472590,2,2015
LUFTHANSA,0,1103115,2,2015
VIRGIN ATLANTIC,0,987554,2,2015
AIR FRANCE,0,897796,2,2015
CATHAY PACIFIC,0,848795,2,2015
EMIRATES AIRLINES,0,807742,2,2015
CARIBBEAN AIR,0,586933,2,2015
EL AL,0,573989,2,2015
ALITALIA,0,560018,2,2015
SAS,0,518480,2,2015
SWISS INT'L AIR LINES LT,0,516267,2,2015
UNITED,21696618,8017755,6,2016
DELTA,22863352,5554195,6,2016
JETBLUE AIRWAYS,13414776,3570231,6,2016
AMERICAN,10689154,2598126,6,2016
US AIRWAYS,5076117,0,6,2016
SOUTHWEST AIRLINES,4116777,0,6,2016
SPIRIT AIRLINES,2405358,0,6,2016
VIRGIN AMERICA,1842011,0,6,2016
BRITISH AIRWAYS,0,1663145,6,2016
AIR CANADA,0,1627179,6,2016
LUFTHANSA,0,1093233,6,2016
EMIRATES AIRLINES,0,1067342,6,2016
VIRGIN ATLANTIC,0,992974,6,2016
AIR FRANCE,0,977022,6,2016
CATHAY PACIFIC,0,828140,6,2016
EL AL,0,609506,6,2016
ALITALIA,0,569370,6,2016
CARIBBEAN AIR,0,562496,6,2016
TURKISH AIR,0,533946,6,2016
AEROMEXICO,0,530738,6,2016
UNITED,20175382,7793515,3,2015
DELTA,20676821,5092209,3,2015
JETBLUE AIRWAYS,12374042,3169962,3,2015
AMERICAN,9649378,2951104,3,2015
US AIRWAYS,4863935,0,3,2015
SOUTHWEST AIRLINES,3713011,0,3,2015
SPIRIT AIRLINES,2347637,0,3,2015
BRITISH AIRWAYS,0,1763292,3,2015
VIRGIN AMERICA,1574793,0,3,2015
AIR CANADA,0,1478767,3,2015
LUFTHANSA,0,1095061,3,2015
VIRGIN ATLANTIC,0,992602,3,2015
AIR FRANCE,0,899117,3,2015
CATHAY PACIFIC,0,853679,3,2015
EMIRATES AIRLINES,0,822714,3,2015
CARIBBEAN AIR,0,594736,3,2015
EL AL,0,577726,3,2015
ALITALIA,0,560200,3,2015
SAS,0,523728,3,2015
SWISS INT'L AIR LINES LT,0,514982,3,2015
UNITED,20370814,7801076,4,2015
DELTA,20765823,5092211,4,2015
JETBLUE AIRWAYS,12449368,3126794,4,2015
AMERICAN,9678313,2918341,4,2015
US AIRWAYS,4877068,0,4,2015
SOUTHWEST AIRLINES,3749190,0,4,2015
SPIRIT AIRLINES,2352090,0,4,2015
BRITISH AIRWAYS,0,1749203,4,2015
VIRGIN AMERICA,1604832,0,4,2015
AIR CANADA,0,1480789,4,2015
LUFTHANSA,0,1093714,4,2015
VIRGIN ATLANTIC,0,986398,4,2015
AIR FRANCE,0,903626,4,2015
CATHAY PACIFIC,0,849495,4,2015
EMIRATES AIRLINES,0,841678,4,2015
CARIBBEAN AIR,0,598442,4,2015
EL AL,0,573674,4,2015
ALITALIA,0,563359,4,2015
SAS,0,515676,4,2015
SWISS INT'L AIR LINES LT,0,511453,4,2015
UNITED,21913964,8071866,9,2016
DELTA,23501444,5603043,9,2016
JETBLUE AIRWAYS,13385910,3586941,9,2016
AMERICAN,11229277,2556816,9,2016
US AIRWAYS,4536246,39284,9,2016
SOUTHWEST AIRLINES,4107303,0,9,2016
SPIRIT AIRLINES,2429078,0,9,2016
VIRGIN AMERICA,1880107,0,9,2016
AIR CANADA,0,1685997,9,2016
BRITISH AIRWAYS,0,1678981,9,2016
LUFTHANSA,0,1098304,9,2016
EMIRATES AIRLINES,0,1071217,9,2016
VIRGIN ATLANTIC,0,975874,9,2016
AIR FRANCE,0,965375,9,2016
CATHAY PACIFIC,0,829889,9,2016
EL AL,0,616127,9,2016
ALITALIA,0,557760,9,2016
TURKISH AIR,0,545697,9,2016
AEROMEXICO,0,539750,9,2016
CARIBBEAN AIR,0,531516,9,2016
UNITED,23055889,8046496,8,2017
DELTA,24413014,5584843,8,2017
JETBLUE AIRWAYS,13593680,3711111,8,2017
AMERICAN,14062865,2646888,8,2017
SOUTHWEST AIRLINES,4167668,0,8,2017
VIRGIN AMERICA,1980129,0,8,2017
SPIRIT AIRLINES,1936073,0,8,2017
AIR CANADA,0,1866595,8,2017
BRITISH AIRWAYS,0,1633926,8,2017
EMIRATES AIRLINES,0,1149013,8,2017
LUFTHANSA,0,1120917,8,2017
AIR FRANCE,0,1059286,8,2017
VIRGIN ATLANTIC,0,999864,8,2017
NORWEGIAN AIR,0,801803,8,2017
CATHAY PACIFIC,0,794128,8,2017
EL AL,0,622444,8,2017
AER LINGUS,0,615714,8,2017
ALITALIA,0,593931,8,2017
ALASKA AIRLINES,577020,0,8,2017
WESTJET,0,534344,8,2017
UNITED,21691053,7995814,7,2016
DELTA,22834531,5594878,7,2016
